Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
-1,Harry Potter and the Goblet of Fire,"$895,921,036","$290,013,036","$605,908,000",2005.csv,2005,32.4%,67.6%
-1,Star Wars: Episode III - Revenge of the Sith,"$868,352,530","$380,270,577","$488,081,953",2005.csv,2005,43.8%,56.2%
-1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957","$453,302,158",2005.csv,2005,39.2%,60.8%
-1,War of the Worlds,"$603,873,119","$234,280,354","$369,592,765",2005.csv,2005,38.8%,61.2%
-1,King Kong,"$562,363,449","$218,080,025","$344,283,424",2005.csv,2005,38.8%,61.2%
-1,Madagascar,"$542,063,846","$193,595,521","$348,468,325",2005.csv,2005,35.7%,64.3%
-1,Mr. & Mrs. Smith,"$487,287,646","$186,336,279","$300,951,367",2005.csv,2005,38.2%,61.8%
-1,Charlie and the Chocolate Factory,"$474,968,763","$206,459,076","$268,509,687",2005.csv,2005,43.5%,56.5%
-1,Mission: Impossible III,"$398,479,497","$134,029,801","$264,449,696",2005.csv,2005,33.6%,66.4%
-1,Batman Begins,"$371,853,783","$205,343,774","$166,510,009",2005.csv,2005,55.2%,44.8%
-1,Hitch,"$371,594,210","$179,495,555","$192,098,655",2005.csv,2005,48.3%,51.7%
-1,Fantastic Four,"$333,535,934","$154,696,080","$178,839,854",2005.csv,2005,46.4%,53.6%
-1,Chicken Little,"$314,432,837","$135,386,665","$179,046,172",2005.csv,2005,43.1%,56.9%
-1,Wedding Crashers,"$288,467,645","$209,255,921","$79,211,724",2005.csv,2005,72.5%,27.5%
-1,Robots,"$262,511,490","$128,200,012","$134,311,478",2005.csv,2005,48.8%,51.2%
-1,Constantine,"$230,884,728","$75,976,178","$154,908,550",2005.csv,2005,32.9%,67.1%
-1,Flightplan,"$223,387,299","$89,707,299","$133,680,000",2005.csv,2005,40.2%,59.8%
-1,Kingdom of Heaven,"$218,122,627","$47,398,413","$170,724,214",2005.csv,2005,21.7%,78.3%
-1,Fun with Dick and Jane,"$204,681,899","$110,332,737","$94,349,162",2005.csv,2005,53.9%,46.1%
-1,The Pacifier,"$198,636,868","$113,086,868","$85,550,000",2005.csv,2005,56.9%,43.1%
-1,Wallace & Gromit: The Curse of the Were-Rabbit,"$194,111,171","$56,110,897","$138,000,274",2005.csv,2005,28.9%,71.1%
-1,The Longest Yard,"$191,466,556","$158,119,460","$33,347,096",2005.csv,2005,82.6%,17.4%
-1,Walk the Line,"$186,797,986","$119,519,402","$67,278,584",2005.csv,2005,64%,36%
-1,Brokeback Mountain,"$178,062,759","$83,043,761","$95,018,998",2005.csv,2005,46.6%,53.4%
-1,The 40-Year-Old Virgin,"$177,378,645","$109,449,237","$67,929,408",2005.csv,2005,61.7%,38.3%
-1,The Ring Two,"$163,995,949","$76,231,249","$87,764,700",2005.csv,2005,46.5%,53.5%
-1,The Island,"$162,949,164","$35,818,913","$127,130,251",2005.csv,2005,22%,78%
-1,The Interpreter,"$162,944,923","$72,708,161","$90,236,762",2005.csv,2005,44.6%,55.4%
